"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","O6150951","ACT","10429 HONEYSUCKLE VINE CIR","RIVERVIEW","33578","$402,318","","","","56","56","One","","2","20X20","Square Feet","2023","1,637","2,146"
"1","T3487502","ACT","12546 TIMBER MOSS LN","RIVERVIEW","33579","$403,210","","","","28","28","Two","","2","20X20","Square Feet","2024","1,870","2,270"
"1","T3485966","ACT","12558 TIMBER MOSS LN","RIVERVIEW","33579","$403,210","","","","35","35","Two","","2","20X20","Square Feet","2024","1,870","2,270"
"1","T3485963","ACT","12566 TIMBER MOSS LN","RIVERVIEW","33579","$403,210","","","","35","35","Two","","2","20X20","Square Feet","2024","1,870","2,270"
"1","T3483720","ACT","10410 WHISPERING HAMMOCK DR","RIVERVIEW","33578","$403,750","","","","44","44","One","","2","","Square Feet","2015","2,330","2,874"
"1","L4939969","ACT","12267 CYPRESS BRANCH ST","RIVERVIEW","33579","$403,880","","","","51","51","One","","2","18x21","Square Feet","2023","1,715","2,402"
"1","T3484205","ACT","13419 FLADGATE MARK DR","RIVERVIEW","33579","$405,000","","","","43","43","One","","2","20x20","Square Feet","2007","1,909","2,343"
"1","W7859109","ACT","1510 WAKEFIELD DR","BRANDON","33511","$405,000","","","","57","57","One","","2","","Square Feet","1996","1,701","2,288"
"1","T3472810","ACT","6416 N 41ST ST","TAMPA","33610","$405,000","","","","26","26","One","","2","18x20","Square Feet","2023","1,646","2,205"
"1","T3466950","ACT","12165 WATER ASH PL","RIVERVIEW","33569","$405,000","","","","123","123","Two","","2","","Square Feet","2022","2,522","2,970"
"1","T3442963","ACT","13362 WILLOW BLUESTAR LOOP","RIVERVIEW","33579","$405,000","","","","234","234","One","","2","","Square Feet","2020","1,935","2,740"
"1","O6141362","ACT","4409 W PINTOR PL","TAMPA","33616","$406,000","","","","97","97","One","","","","Square Feet","1998","1,448","1,448"
"1","T3485959","ACT","13202 PALMERSTON RD","RIVERVIEW","33579","$406,690","","","","35","35","One","","2","19X20","Square Feet","2024","1,817","2,017"
"1","T3481573","ACT","13187 PALMERSTON RD","RIVERVIEW","33579","$406,690","","","","55","55","One","","2","19X20","Square Feet","2024","1,817","2,017"
"1","L4941265","ACT","12329 MARSHLAND ST","RIVERVIEW","33579","$407,455","","","","6","6","One","","2","19x21","Square Feet","2024","1,819","2,518"
"1","T3490995","ACT","1403 STAR JASMINE LN","BRANDON","33511","$407,900","","","","2","2","One","","2","","Square Feet","1986","1,985","2,476"
"1","U8223837","ACT","2907 W NORTH ST","TAMPA","33614","$408,000","","","","4","73","One","","","","Square Feet","1960","1,625","2,124"
"1","T3487311","ACT","11747 ALBATROSS LN","RIVERVIEW","33569","$408,000","","","","19","19","One","","2","","Square Feet","2015","1,753","2,296"
"1","T3472900","ACT","1209 E 24TH AVE","TAMPA","33605","$409,000","","","","50","50","One","","","","Square Feet","2022","1,485","1,901"
"1","U8222038","ACT","12526 CARDIFF DR","TAMPA","33625","$409,900","","","","17","17","Two","","2","","Square Feet","1984","1,700","2,444"
"1","T3484152","ACT","1938 W SPRUCE ST","TAMPA","33607","$409,900","","","","44","44","Two","","","","Square Feet","2007","1,404","1,512"
"1","U8217410","ACT","13112 SHUMARD WAY","RIVERVIEW","33579","$409,999","","","","66","66","One","","2","","Square Feet","2020","1,842","2,465"
"1","T3484984","ACT","4728 W ANITA BLVD","TAMPA","33611","$410,000","","","","40","40","One","","","","Square Feet","1952","1,350","1,350"
"1","T3473112","ACT","3407 GRAY WHETSTONE ST","BRANDON","33511","$410,000","","","","52","52","One","","2","","Square Feet","2001","1,906","2,539"
"1","T3472974","ACT","3420 E 21ST AVE","TAMPA","33605","$410,000","","","","59","59","One","","","","Square Feet","1949","2,370","2,406"
"1","T3435426","ACT","7706 N RIVERDALE AVE","TAMPA","33604","$410,000","","","","271","271","Two","","","","Square Feet","2008","1,624","1,768"
"1","T3487441","ACT","6336 YELLOW BUCKEYE DR","RIVERVIEW","33578","$412,000","","","","24","24","Two","","2","","Square Feet","2016","2,200","2,880"
"1","T3484540","ACT","2608 E LAKE AVE","TAMPA","33610","$412,500","","","","42","42","One","","1","","Square Feet","2023","1,450","1,910"
"1","O6150929","ACT","10422 HONEYSUCKLE VINE CIR","RIVERVIEW","33578","$412,672","","","","56","56","One","","2","20X20","Square Feet","2023","1,541","2,041"
"1","T3490172","ACT","9753 FOX HOLLOW RD","TAMPA","33647","$414,900","","","","13","39","One","","2","","Square Feet","1991","1,510","2,114"
"1","O6160486","ACT","10913 OBSERVATORY WAY","TAMPA","33647","$414,900","","","","20","20","Two","","2","20x20","Square Feet","2007","2,053","2,651"
"1","T3486811","ACT","11101 RODEO LN","RIVERVIEW","33579","$414,999","","","","32","32","Two","","2","","Square Feet","2005","2,555","3,037"
"1","T3492331","ACT","1511 E POWHATAN AVE","TAMPA","33610","$415,000","","","","1","1","One","","","","Square Feet","1988","1,048","1,288"
"1","U8223858","ACT","9115 CYPRESSWOOD CIR","TAMPA","33647","$415,000","","","","6","6","One","","2","","Square Feet","1978","1,796","2,682"
"1","T3490465","ACT","2515 HABANA PL","TAMPA","33618","$415,000","","","","10","10","One","","1","","Square Feet","1960","1,100","1,170"
"1","T3484500","ACT","4401 GLOBE THISTLE DR","TAMPA","33619","$415,000","","","","35","35","Two","","2","","Square Feet","2019","1,914","2,409"
"1","O6153925","ACT","12891 TANNENCREST DR","RIVERVIEW","33579","$415,000","","","","48","48","Two","","2","","Square Feet","2021","2,073","2,073"
"1","T3477200","ACT","11931 BAHIA VALLEY DR","RIVERVIEW","33579","$415,000","","","","69","69","One","","2","","Square Feet","2019","1,813","2,631"
"1","T3475679","ACT","909 E CRENSHAW ST","TAMPA","33604","$415,000","","","","80","80","One","Unfinished","","","Square Feet","1928","1,716","2,144"
"1","T3474782","ACT","3012 JUSTAMERE LN","TAMPA","33614","$415,000","","","","51","51","One","","","","Square Feet","1955","2,168","2,780"
"1","T3460510","ACT","13024 CARLINGTON LN","RIVERVIEW","33579","$415,000","","","","150","150","One","","3","","Square Feet","2000","2,011","2,749"
"1","T3442807","ACT","2515 N HOWARD AVE","TAMPA","33607","$415,000","","","","178","178","One","Crawl Space","","","Square Feet","1952","1,104","1,216"
"1","T3485948","ACT","13219 PALMERSTON RD","RIVERVIEW","33579","$417,450","","","","35","35","One","","2","19X20","Square Feet","2024","1,936","2,336"
"1","T3485944","ACT","13205 PALMERSTON RD","RIVERVIEW","33579","$417,450","","","","35","35","One","","2","19X20","Square Feet","2024","1,936","2,336"
"1","T3484340","ACT","13178 PALMERSTON RD","RIVERVIEW","33579","$417,450","","","","42","42","One","","2","19X20","Square Feet","2024","1,936","2,336"
"1","T3483090","ACT","15248 ANGUILLA ISLE AVE","TAMPA","33647","$417,500","","","","40","40","One","","2","","Square Feet","2016","1,638","2,153"
"1","T3492062","ACT","8267 MALVERN CIR","TAMPA","33634","$418,000","","","","3","3","One","","1","","Square Feet","1978","1,578","1,955"
"1","T3471048","ACT","513 E BRENTRIDGE DR","BRANDON","33511","$418,000","","","","99","99","One","","2","","Square Feet","1970","1,660","1,842"
"1","T3481097","ACT","4109 W FAIR OAKS AVE","TAMPA","33611","$418,888","","","","57","57","One","","1","","Square Feet","1954","1,283","1,675"
"1","C7484635","ACT","17707 NATHANS DR","TAMPA","33647","$419,000","","","","14","14","One","","2","","Square Feet","1993","1,724","2,392"
"1","T3487507","ACT","3809 W LEILA AVE","TAMPA","33616","$419,000","","","","27","27","One","","","","Square Feet","1954","1,324","1,324"
"1","T3486446","ACT","5503 N 9TH ST","TAMPA","33604","$419,000","","","","32","32","One","","","","Square Feet","1925","1,222","1,420"
"1","U8215515","ACT","10913 TRAILING VINE DR","TAMPA","33610","$419,000","","","","81","81","Two","","2","","Square Feet","2020","2,328","2,856"
"1","U8224207","ACT","4005 W BAY AVE","TAMPA","33616","$419,900","","","","1","1","One","","","","Square Feet","1958","1,318","1,382"
"1","U8222302","ACT","6803 SPANISH MOSS CIR","TAMPA","33625","$419,900","","","","6","6","One","","1","","Square Feet","1984","1,432","1,988"
"1","T3485999","ACT","3917 W WALNUT ST","TAMPA","33607","$419,900","","","","33","33","One","","","","Square Feet","1951","1,240","1,240"
"1","T3480512","ACT","706 LEXINGTON BLVD","TAMPA","33612","$419,900","","","","59","59","One","","2","","Square Feet","2024","1,409","1,728"
"1","T3478457","ACT","6805 FOREST POINT WAY","RIVERVIEW","33578","$419,900","","","","69","69","One","","2","","Square Feet","1999","1,834","2,576"
"1","U8216134","ACT","1007 E 109TH AVE","TAMPA","33612","$419,900","","","","74","74","One","","2","","Square Feet","2023","1,602","2,184"
"1","T3472366","ACT","3902 N SUWANEE AVE N","TAMPA","33603","$419,900","","","","94","94","One","","","","Square Feet","1910","1,232","1,407"
"1","T3446877","ACT","11202 BEESWING PL","RIVERVIEW","33578","$419,900","","","","215","215","One","","2","","Square Feet","2020","1,935","2,380"
"1","T3478450","ACT","3905 OAK HAMMOCK DR","BRANDON","33511","$419,911","","","","48","48","One","","2","","Square Feet","1978","1,566","2,079"
"1","J964074","ACT","12402 WINDSWEPT AVE","RIVERVIEW","33569","$419,999","","","","151","151","One","","2","","Square Feet","1995","2,002","2,011"
"1","T3491013","ACT","117 MARY KAY CT","BRANDON","33511","$420,000","","","","4","4","One","","2","","Square Feet","1979","1,697","2,757"
"1","S5096055","ACT","1219 CANYON OAKS DR","BRANDON","33510","$420,000","","","","8","8","Two","","2","20x20","Square Feet","2013","2,432","3,289"
"1","T3489951","ACT","2707 W KIRBY ST","TAMPA","33614","$420,000","","","","13","13","One","","","","Square Feet","1964","1,387","6,100"
"1","T3489243","ACT","12821 SCARLET STAR DR","RIVERVIEW","33579","$420,000","","","","17","17","One","","2","","Square Feet","2020","1,848","2,505"
"1","U8221892","ACT","5509 N TALIAFERRO AVE","TAMPA","33604","$420,000","","","","17","17","One","","","","Square Feet","1922","1,372","1,372"
"1","T3480428","ACT","3208 N LINCOLN AVE","TAMPA","33607","$420,000","","","","56","56","One","","","","Square Feet","1997","1,350","1,757"
"1","T3475947","ACT","1410 HIGHVIEW RD","BRANDON","33510","$420,000","","","","80","80","One","","2","","Square Feet","1974","1,499","2,632"
"1","T3475369","ACT","7328 BLUE BEECH DR","RIVERVIEW","33578","$420,000","","","","74","74","One","","2","","Square Feet","2017","1,745","2,354"
"1","OM663656","ACT","10810 WINGATE DR","TAMPA","33624","$420,000","","","","105","105","One","","2","","Square Feet","1984","1,768","2,722"
"1","T3465742","ACT","10973 CARLTON FIELDS DR","RIVERVIEW","33579","$420,000","","","","127","127","Two","","2","","Square Feet","2020","2,078","2,596"
"1","T3455589","ACT","7413 S JUANITA ST","TAMPA","33616","$420,000","","","","173","173","One","","","","Square Feet","1986","640","640"
"1","T3485985","ACT","12544 TIMBER MOSS LN","RIVERVIEW","33579","$422,110","","","","35","35","Two","","2","19X20","Square Feet","2024","2,215","2,615"
"1","T3485981","ACT","12554 TIMBER MOSS LN","RIVERVIEW","33579","$422,110","","","","35","35","Two","","2","19X20","Square Feet","2024","2,215","2,615"
"1","T3481563","ACT","12562 TIMBER MOSS LN","RIVERVIEW","33579","$422,110","","","","55","55","Two","","2","19X20","Square Feet","2024","2,215","2,615"
"1","T3469822","ACT","605 MARPHIL LOOP","BRANDON","33511","$424,500","","","","89","89","One","","2","","Square Feet","1964","1,813","2,863"
"1","T3488089","ACT","6914 N HIMES AVE","TAMPA","33614","$424,750","","","","20","20","One","","","","Square Feet","2002","1,369","1,726"
"1","T3483237","ACT","13008 BOATSWAIN MATE DR","RIVERVIEW","33579","$424,900","","","","47","47","Two","","2","21x22","Square Feet","2001","2,413","3,175"
"1","U8216893","ACT","6409 FOXBURY RIDGE LN","RIVERVIEW","33578","$424,900","","","","68","68","Two","","2","","Square Feet","2011","2,590","3,214"
"1","T3472479","ACT","7347 BRIGHTEN DR","TAMPA","33615","$424,900","","","","91","91","One","","","","Square Feet","1960","1,502","1,602"
"1","T3483853","ACT","13122 ROYAL PINES AVE","RIVERVIEW","33579","$424,999","","","","45","148","Two","","2","","Square Feet","2013","2,546","3,281"
"1","T3492007","ACT","1913 E HANNA AVE","TAMPA","33610","$425,000","","","","4","4","One","","","","Square Feet","1947","1,602","1,602"
"1","T3491569","ACT","1427 E POWHATAN AVE","TAMPA","33604","$425,000","","","","4","4","One","","","","Square Feet","1944","1,090","1,114"
"1","U8223259","ACT","4231 HARTFORD LAKE DR","TAMPA","33619","$425,000","","","","10","196","Two","","2","","Square Feet","2006","2,460","3,140"
"1","T3488746","ACT","10424 N OKLAWAHA AVE","TAMPA","33617","$425,000","","","","18","18","One","","2","","Square Feet","2000","1,888","2,059"
"1","T3488299","ACT","15713 WARBLER PL","TAMPA","33624","$425,000","","","","19","19","One","","2","21x21","Square Feet","1980","1,545","2,274"
"1","T3486985","ACT","10116 CEDAR DUNE DR","TAMPA","33624","$425,000","","","","31","31","One","","1","","Square Feet","1990","1,232","1,636"
"1","T3485265","ACT","10934 ANCIENT FUTURES DR","TAMPA","33647","$425,000","","","","37","37","One","","2","21x20","Square Feet","2008","1,955","2,406"
"1","T3483456","ACT","12185 DOWNY BIRCH DR","RIVERVIEW","33569","$425,000","","","","46","46","Two","","2","","Square Feet","2021","2,522","2,970"
"1","T3483150","ACT","2205 LAKE BAY WAY","BRANDON","33511","$425,000","","","","48","48","One","","2","","Square Feet","1989","1,971","7,875"
"1","T3482511","ACT","9801 CREEK CROSS ST","TAMPA","33647","$425,000","","","","47","47","One","","2","","Square Feet","1988","2,013","2,853"
"1","T3480012","ACT","413 E CLAY AVE","BRANDON","33510","$425,000","","","","41","41","One","","","","Square Feet","1958","1,436","1,436"
"1","U8217185","ACT","2612 E 26TH AVE","TAMPA","33605","$425,000","","","","66","66","Two","","2","","Square Feet","2021","1,880","2,320"
"1","T3478340","ACT","1610 E 97TH AVE","TAMPA","33612","$425,000","","","","67","67","One","","2","","Square Feet","2023","1,598","2,242"
"1","T3475618","ACT","13524 FLADGATE MARK DR","RIVERVIEW","33579","$425,000","","","","81","81","One","","2","","Square Feet","2007","1,970","2,710"
"1","T3472741","ACT","6305 S MACDILL AVE","TAMPA","33611","$425,000","","","","69","69","One","","","","Square Feet","1948","1,080","1,898"
"1","T3472441","ACT","6512 DOVEWOOD PL","TAMPA","33634","$425,000","","","","84","84","One","","","","Square Feet","1969","1,486","1,826"
"1","U8212443","ACT","8636 TURNSTONE SHORE LN","RIVERVIEW","33578","$425,000","","","","106","106","Two","","2","","Square Feet","2011","2,642","3,122"
"1","T3467818","ACT","748 FORTUNA DR","BRANDON","33511","$425,000","","","","85","85","One","","2","23x27","Square Feet","1983","1,784","2,333"
"1","T3467367","ACT","10315 CHADBOURNE DR","TAMPA","33624","$425,000","","","","119","119","One","","1","","Square Feet","1980","1,318","1,846"
"1","O6133080","ACT","11106 BLACK FOREST TRL","RIVERVIEW","33569","$425,000","","","","93","93","Two","","2","","Square Feet","2005","2,702","3,300"
"1","T3462438","ACT","11257 SPRING POINT CIR","RIVERVIEW","33579","$425,000","","","","142","142","One","","2","20x19","Square Feet","2016","2,001","2,581"
"1","T3459993","ACT","6311 S ADELIA AVE","TAMPA","33616","$425,000","","","","152","152","One","","","","Square Feet","1984","1,632","1,856"
"1","T3440289","ACT","2505 N GLEN AVE","TAMPA","33607","$425,000","","","","248","248","One","","","","Square Feet","1968","1,821","2,062"
"1","T3402182","ACT","7929 N HABANA AVE","TAMPA","33614","$425,000","","","","451","451","Two","","","","Square Feet","1969","1,956","2,155"
"1","U8143011","ACT","4101 WINDTREE DR","TAMPA","33624","$425,000","","","","85","85","One","","2","","Square Feet","1981","2,005",""
"1","L4941261","ACT","12307 MARSHLAND ST","RIVERVIEW","33579","$425,070","","","","6","6","One","","2","19x24","Square Feet","2024","2,005","2,732"
"1","T3484356","ACT","12639 MAPLE BONSAI DR","RIVERVIEW","33579","$426,685","","","","42","42","Two","","2","19X20","Square Feet","2024","2,389","2,789"
"1","T3470848","ACT","12655 MAPLE BONSAI DR","RIVERVIEW","33579","$426,685","","","","102","102","Two","","2","19X20","Square Feet","2024","2,389","2,789"
"1","U8209920","ACT","716 FOREST HILLS DR","BRANDON","33510","$428,000","","","","69","69","One","","2","","Square Feet","1976","1,764","2,654"
"1","T3471140","ACT","10463 HALLMARK BLVD","RIVERVIEW","33578","$428,900","","","","101","101","One","","2","","Square Feet","1999","1,956","2,368"
"1","T3490745","ACT","7831 RIVERWOOD OAKS DR","RIVERVIEW","33578","$429,000","","","","7","7","One","","3","","Square Feet","2004","1,971","2,950"
"1","T3489966","ACT","2217 E 18TH AVE","TAMPA","33605","$429,000","","","","12","12","One","","1","","Square Feet","2023","1,427","1,864"
"1","T3457503","ACT","13822 KINSALE ST","RIVERVIEW","33579","$429,498","","","","130","130","One","","2","20x21","Square Feet","2020","2,340","2,910"
"1","T3492363","ACT","7210 N LOIS AVE","TAMPA","33614","$429,900","","","","2","2","One","","","","Square Feet","1983","1,856","1,856"
"1","T3487609","ACT","2715 GARDEN FALLS DR","BRANDON","33511","$429,900","","","","28","28","Two","","2","","Square Feet","2015","2,280","2,800"
"1","T3485806","ACT","10119 CEDAR DUNE DR","TAMPA","33624","$429,900","","","","24","24","One","","2","","Square Feet","1990","1,419","2,229"
"1","U8220144","ACT","8106 N ALASKA ST","TAMPA","33604","$429,900","","","","42","42","One","","2","","Square Feet","2021","1,532","2,089"
"1","T3481428","ACT","11415 FRESHWATER RIDGE DR","RIVERVIEW","33569","$429,900","","","","49","49","One","","2","19x20","Square Feet","2020","2,061","2,461"
"1","T3458541","ACT","2340 W CHESTNUT ST","TAMPA","33607","$429,990","","","","154","154","Two","","1","","Square Feet","2023","1,288","1,690"
"1","S5096064","ACT","10114 PARADISE FISH DR","RIVERVIEW","33578","$430,000","","","","9","9","One","","2","","Square Feet","2019","1,561","1,955"
"1","T3486616","ACT","17628 NATHANS DR","TAMPA","33647","$430,000","","","","27","27","One","","2","","Square Feet","1994","1,836","1,836"
"1","T3486477","ACT","9809 LONG MEADOW DR","TAMPA","33615","$430,000","","","","21","21","One","","2","","Square Feet","1993","1,719","2,405"
"1","T3482202","ACT","16501 LONESDALE PL","TAMPA","33624","$430,000","","","","53","53","One","","2","","Square Feet","1980","1,596","2,490"
"1","T3481734","ACT","18544 OTTERWOOD AVE","TAMPA","33647","$430,000","","","","54","54","One","","2","","Square Feet","1990","1,795","2,239"
"1","T3479470","ACT","10506 FAIRY MOSS LN","RIVERVIEW","33578","$430,000","","","","66","66","Two","","2","","Square Feet","2020","2,635","3,090"
"1","U8215511","ACT","521 TUSCANNY PARK LOOP","BRANDON","33511","$430,000","","","","80","80","One","","2","","Square Feet","1998","2,222","2,888"
"1","U8207490","ACT","7417 EVENING PRIMROSE CT Unit#7417","TAMPA","33619","$430,000","","","","154","154","Two","","2","","Square Feet","2019","1,805","1,805"
"1","T3485987","ACT","12565 TIMBER MOSS LN","RIVERVIEW","33579","$430,185","","","","35","35","Two","","2","19X20","Square Feet","2024","2,389","2,789"
"1","T3484220","ACT","7720 MARBELLA CREEK AVE","TAMPA","33615","$433,000","","","","40","40","One","","2","","Square Feet","1993","1,227","1,227"
"1","T3470231","ACT","12568 TIMBER MOSS LN","RIVERVIEW","33579","$433,185","","","","104","104","Two","","2","19X20","Square Feet","2024","2,389","2,789"
"1","T3474803","ACT","7530 TWELVE OAKS BLVD","TAMPA","33634","$433,900","","","","81","81","One","","2","","Square Feet","1974","1,533","1,533"
"1","T3490101","ACT","10420 DEEPBROOK DR","RIVERVIEW","33569","$434,900","","","","11","11","One","","2","","Square Feet","1989","1,710","2,555"
"1","T3486780","ACT","7009 N COOLIDGE AVE","TAMPA","33614","$434,900","","","","29","29","One","","1","","Square Feet","1986","1,200","1,512"
"1","T3484541","ACT","4110 CAT MINT ST","TAMPA","33619","$434,900","","","","41","41","Two","","2","20x20","Square Feet","2019","2,109","2,648"
"1","T3483650","ACT","3127 SANDSPUR DR","TAMPA","33618","$434,900","","","","45","45","One","","","","Square Feet","1979","1,788","1,829"
"1","T3475355","ACT","11511 MANSFIELD POINT DR","RIVERVIEW","33569","$434,900","","","","27","52","One","","2","20x18","Square Feet","2015","1,908","2,476"
"1","T3465259","ACT","1416 BLOOMINGDALE TRAILS BLVD","BRANDON","33511","$434,900","","","","130","130","One","","2","","Square Feet","2000","2,090","2,540"
"1","T3465664","ACT","12406 LATCHFORD STREAM PL","RIVERVIEW","33579","$434,990","","","","128","128","Two","","2","","Square Feet","2013","2,626","3,367"
"1","T3489938","ACT","8405 CANTERBURY LAKE BLVD","TAMPA","33619","$435,000","","","","13","13","Two","","2","19x21","Square Feet","2005","2,381","3,137"
"1","U8222675","ACT","4012 W MONTGOMERY TER","TAMPA","33616","$435,000","","","","18","18","One","","","","Square Feet","1958","1,416","1,416"
"1","U8222300","ACT","7307 N HIGHLAND AVE","TAMPA","33604","$435,000","","","","21","74","One","","","","Square Feet","1953","1,300","1,300"
"1","T3486271","ACT","1144 BALLARD GREEN PL","BRANDON","33511","$435,000","","","","33","33","Two","","2","19x21","Square Feet","2014","2,347","2,900"
"1","O6153948","ACT","11850 MYRTLE ROCK DR","RIVERVIEW","33578","$435,000","","","","48","48","Multi/Split","","2","","Square Feet","2019","2,674","2,674"
"1","T3481592","ACT","9715 WYDELLA ST","RIVERVIEW","33569","$435,000","","","","53","53","One","","3","","Square Feet","2004","2,217","3,173"
"1","T3470209","ACT","2205 E 22ND AVE","TAMPA","33605","$435,000","","","","83","83","One","","","","Square Feet","1958","1,112","1,262"
"1","T3481705","ACT","11442 BROOK EDGE AVE","RIVERVIEW","33569","$436,995","","","","55","55","Two","","2","20x20","Square Feet","2024","2,226","2,745"
"1","S5086716","ACT","6826 S DESOTO ST","TAMPA","33616","$437,113","","","","185","185","One","","","","Square Feet","1981","1,464","1,512"
"1","U8223568","ACT","14901 OLDGATE PL","TAMPA","33624","$439,000","","","","4","110","Two","","2","","Square Feet","1982","2,028","2,549"
"1","T3483075","ACT","3402 W CLIFTON ST","TAMPA","33614","$439,000","","","","47","47","Two","","","","Square Feet","2023","1,298","1,431"
"1","T3482614","ACT","4522 W KNOX ST","TAMPA","33614","$439,000","","","","51","51","One","","","","Square Feet","1963","1,751","2,189"
"1","U8222416","ACT","11222 SPRING POINT CIR","RIVERVIEW","33579","$439,900","","","","20","20","One","","2","22x22","Square Feet","2015","2,022","2,581"
"1","A4587017","ACT","1006 E 31ST AVE","TAMPA","33603","$439,900","","","","55","55","Two","","1","","Square Feet","1923","2,096","2,096"
"1","U8218208","ACT","15808 PENNINGTON RD","TAMPA","33624","$439,900","","","","59","59","One","","2","","Square Feet","1982","1,535","2,383"
"1","T3480081","ACT","13370 WATERLEAF GARDEN CIR","RIVERVIEW","33579","$439,900","","","","61","61","One","","2","","Square Feet","2021","2,046","2,756"
"1","U8216102","ACT","102 WINDY PL","BRANDON","33511","$439,900","","","","7","7","Two","","6","","Square Feet","1972","1,808","2,745"
"1","T3461745","ACT","1106 LAKE HIGHVIEW LN","BRANDON","33510","$439,900","","","","145","145","Two","","2","","Square Feet","2014","2,782","2,782"
"1","O6164638","ACT","1709 SUNNYHILLS DR","BRANDON","33510","$440,000","","","","3","3","One","","2","","Square Feet","1981","2,084","2,084"
"1","D6133793","ACT","6603 N ELIZABETH ST","TAMPA","33604","$440,000","","","","7","7","One","","","","Square Feet","1989","1,113","1,235"
"1","T3490230","ACT","16009 SADDLESTRING DR","TAMPA","33618","$440,000","","","","10","10","One","","","","Square Feet","1981","1,276","1,276"
"1","T3487257","ACT","9527 PEBBLE GLEN AVE","TAMPA","33647","$440,000","","","","29","209","One","","2","19x18","Square Feet","1987","2,362","3,237"
"1","T3465013","ACT","6009 MURRAY HILL DR","TAMPA","33615","$440,000","","","","129","129","One","","","","Square Feet","1961","1,504","1,876"
"1","T3484354","ACT","12667 MAPLE BONSAI DR","RIVERVIEW","33579","$440,195","","","","42","42","Two","","2","18X20","Square Feet","2024","2,580","2,980"
"1","T3485678","ACT","13001 MEADOW POND PL","RIVERVIEW","33579","$442,000","","","","37","37","Two","","2","20x21","Square Feet","2021","2,635","3,090"
"1","T3476490","ACT","12256 CREEK PRESERVE DR","RIVERVIEW","33579","$443,000","","","","70","70","One","","2","","Square Feet","2016","1,970","1,970"
"1","U8217435","ACT","1505 E 27TH AVE","TAMPA","33605","$444,000","","","","65","65","Two","","","","Square Feet","1928","1,300","1,483"
"1","T3491239","ACT","4610 SOUTHBREEZE DR","TAMPA","33624","$445,000","","","","6","6","One","","2","","Square Feet","1981","1,630","2,473"
"1","T3488103","ACT","3310 N JEFFERSON ST","TAMPA","33603","$445,000","","","","24","24","One","","","","Square Feet","1941","1,246","1,246"
"1","T3486491","ACT","19246 OLD SPANISH RD","TAMPA","33647","$445,000","","","","31","125","Two","","2","21x21","Square Feet","2021","1,836","2,442"
"1","U8220730","ACT","9508 LAUREL LEDGE DR","RIVERVIEW","33569","$445,000","","","","38","38","One","","2","","Square Feet","2003","2,321","2,985"
"1","L4940125","ACT","11620 BRIGHTON KNOLL LOOP","RIVERVIEW","33579","$445,000","","","","66","66","One","","3","","Square Feet","2015","2,541","3,741"
"1","T3477994","ACT","2932 W LEROY ST","TAMPA","33607","$445,000","","","","70","70","One","","","","Square Feet","1972","1,374","1,518"
"1","T3477676","ACT","12007 CARDINAL FLOWER DR","RIVERVIEW","33579","$445,000","","","","69","69","One","","2","","Square Feet","2018","1,930","2,486"
"1","T3475939","ACT","10912 AUSTRALIAN PINE DR","RIVERVIEW","33579","$445,000","","","","71","287","Two","","3","","Square Feet","2004","2,686","3,544"
"1","W7858247","ACT","11308 EMERALD SHORE DR","RIVERVIEW","33579","$445,000","","","","74","74","One","","2","","Square Feet","2014","2,022","2,576"
"1","T3469644","ACT","8904 SOUTHBAY DR","TAMPA","33615","$445,000","","","","105","105","One","","2","19x22","Square Feet","1997","1,806","2,354"
"1","T3485994","ACT","12567 TIMBER MOSS LN","RIVERVIEW","33579","$445,695","","","","35","35","Two","","2","18X20","Square Feet","2024","2,580","2,980"
"1","O6164295","ACT","10315 SUMMER AZURE DR","RIVERVIEW","33578","$446,000","","","","4","4","One","","2","","Square Feet","2014","2,688","2,688"
"1","T3488515","ACT","1914 E CRENSHAW ST","TAMPA","33610","$449,000","","","","21","21","One","","","","Square Feet","1957","1,443","1,707"
"1","T3485168","ACT","3403 W TYSON AVE","TAMPA","33611","$449,000","","","","24","24","One","","","","Square Feet","1959","1,827","1,890"
"1","T3482902","ACT","1914 E POWHATAN AVE","TAMPA","33610","$449,000","","","","40","40","Two","","","","Square Feet","1944","1,894","2,130"
"1","T3479898","ACT","12840 BENT TWIG DR","RIVERVIEW","33579","$449,000","","","","60","60","Two","","2","","Square Feet","2020","2,448","3,193"
"1","U8224124","ACT","417 E HUGH ST","TAMPA","33603","$449,500","","","","2","2","One","","0","","Square Feet","1924","1,192","1,560"
"1","T3470558","ACT","11310 CLAYRIDGE DR","TAMPA","33635","$449,800","","","","103","103","One","","2","","Square Feet","1994","1,266","2,004"
"1","T3464517","ACT","11285 WINTHROP MAIN ST","RIVERVIEW","33578","$449,800","","","","103","103","Two","","2","","Square Feet","2013","2,296","2,949"
"1","T3490154","ACT","1511 E DIANA ST","TAMPA","33610","$449,900","","","","7","7","One","","","","Square Feet","1952","1,278","1,278"
"1","T3489538","ACT","9209 CAMINO VILLA BLVD","TAMPA","33635","$449,900","","","","16","16","One","","","","Square Feet","1989","1,768","2,070"
